,Player,Ntnlty,Overall,1st Season,HOF,GP,W,Career Save %,GAA
0,Rob Zepp,CAN,110,20142015,N,10,5,0.888,2.89
1,Jeff Zatkoff,USA,74,20132014,N,48,18,0.91225,2.4924999999999997
2,Michael Zanier,CAN,--,19841985,N,3,1,0.88,3.89
3,Artyom Zagidulin,RUS,--,20202021,N,1,0,0.818,4.25
4,Matt Zaba,CAN,231,20092010,N,1,0,0.875,3.56
5,Wendell Young,CAN,73,19851986,N,187,59,0.8768,3.8609999999999998
6,Allen York,CAN,158,20112012,N,11,3,0.92,2.3
7,Vitali Yeremeyev,KAZ,209,20002001,N,4,0,0.846,4.52
8,Matthew Yeats,CAN,248,20032004,N,5,1,0.908,3.03
9,Ken Wregget,CAN,45,19831984,N,575,225,0.8856470588235295,3.666470588235294
10,Chris Worthy,GBR,--,19681969,N,26,5,0.8613333333333334,4.706666666666667
11,Gump Worsley,CAN,--,19521953,Y,860,333,0.912842105263158,2.8128571428571427
12,Bernie Wolfe,CAN,--,19751976,N,119,20,0.87275,4.2575
13,Lefty Wilson,CAN,--,19531954,N,3,0,0.979,0.38666666666666666
14,Dunc Wilson,CAN,--,19691970,N,287,80,0.8794000000000001,3.7769999999999997
15,Jordan Willis,CAN,243,19951996,N,1,0,0.929,3.2
16,Roman Will,CZE,--,20152016,N,1,0,0.667,3.25
17,Derek Wilkinson,CAN,145,19951996,N,22,3,0.86825,3.78
18,Adam Wilcox,USA,178,20172018,N,1,0,1.0,0.0
19,Kay Whitmore,CAN,26,19881989,N,155,60,0.8652222222222222,3.6855555555555557
20,Carl Wetzel,USA,--,19641965,N,7,1,0.8235,5.74
21,Adam Werner,SWE,131,20192020,N,2,1,0.914,3.42
22,Tyler Weiman,CAN,164,20072008,N,1,0,1.0,0.0
23,Steve Weeks,CAN,176,19801981,N,291,112,0.8630769230769231,4.0346153846153845
24,Kevin Weekes,CAN,41,19971998,N,348,105,0.8968181818181818,3.044545454545455
25,Scott Wedgewood,CAN,84,20152016,N,40,10,0.9166666666666666,2.6033333333333335
26,Jim Watt,USA,--,19731974,N,1,0,0.8,6.0
27,Cam Ward,CAN,25,20052006,N,701,334,0.9061428571428571,2.8278571428571433
28,Rick Wamsley,CAN,58,19801981,N,407,204,0.8801538461538462,3.4315384615384614
29,Michael Wall,CAN,--,20062007,N,4,2,0.877,2.97
30,Ernie Wakely,CAN,--,19621963,N,113,41,0.8949999999999999,3.06
31,Darcy Wakaluk,CAN,144,19881989,N,191,67,0.881875,3.3325
32,Jimmy Waite,CAN,8,19881989,N,106,28,0.8875454545454545,3.1045454545454545
33,Tomas Vokoun,CZE,226,19961997,N,700,300,0.9022000000000001,3.1926666666666668
34,Dan Vladar,CZE,75,20202021,N,5,2,0.886,3.4
