,Player,Country,Draft Position,1st Season,HOF,GP,W,Career Save %,GAA
1,Jeff Zatkoff,USA,74.0,20132014,N,48,18,0.91225,2.4925
5,Wendell Young,CAN,73.0,19851986,N,187,59,0.8768,3.861
9,Ken Wregget,CAN,45.0,19831984,N,575,225,0.8856470588235295,3.666470588235294
10,Chris Worthy,GBR,,19681969,N,26,5,0.8613333333333334,4.706666666666667
11,Gump Worsley,CAN,,19521953,Y,860,333,0.912842105263158,2.8128571428571427
12,Bernie Wolfe,CAN,,19751976,N,119,20,0.87275,4.2575
14,Dunc Wilson,CAN,,19691970,N,287,80,0.8794000000000001,3.777
17,Derek Wilkinson,CAN,145.0,19951996,N,22,3,0.86825,3.78
19,Kay Whitmore,CAN,26.0,19881989,N,155,60,0.8652222222222222,3.685555555555556
23,Steve Weeks,CAN,176.0,19801981,N,291,112,0.8630769230769231,4.0346153846153845
24,Kevin Weekes,CAN,41.0,19971998,N,348,105,0.8968181818181818,3.044545454545455
25,Scott Wedgewood,CAN,84.0,20152016,N,40,10,0.9166666666666666,2.603333333333333
27,Cam Ward,CAN,25.0,20052006,N,701,334,0.9061428571428572,2.8278571428571437
28,Rick Wamsley,CAN,58.0,19801981,N,407,204,0.8801538461538462,3.431538461538461
30,Ernie Wakely,CAN,,19621963,N,113,41,0.8949999999999999,3.06
31,Darcy Wakaluk,CAN,144.0,19881989,N,191,67,0.881875,3.3325
32,Jimmy Waite,CAN,8.0,19881989,N,106,28,0.8875454545454545,3.1045454545454545
33,Tomas Vokoun,CZE,226.0,19961997,N,700,300,0.9022,3.1926666666666668
36,Gilles Villemure,CAN,,19631964,N,205,100,0.8967,3.134
37,Mike Vernon,CAN,56.0,19821983,N,782,385,0.8545789473684211,4.114736842105264
38,Mike Veisor,CAN,45.0,19731974,N,139,41,0.882,3.945
40,Andrei Vasilevskiy,RUS,19.0,20142015,N,302,190,0.9188571428571428,2.5028571428571427
41,Semyon Varlamov,RUS,23.0,20082009,N,529,251,0.9153076923076924,2.625384615384616
42,Vitek Vanecek,CZE,39.0,20202021,N,37,21,0.908,2.69
43,John Vanbiesbrouck,USA,72.0,19811982,N,882,374,0.90195,2.879
44,Steve Valiquette,CAN,190.0,19992000,N,46,16,0.898,2.895
45,Rogie Vachon,CAN,,19661967,Y,795,353,0.894875,3.028125
47,Linus Ullmark,SWE,163.0,20152016,N,117,50,0.917,2.681666666666666
48,Roman Turek,CZE,113.0,19961997,N,328,159,0.910125,2.2525
49,Marty Turco,CAN,124.0,20002001,N,543,275,0.9064545454545456,2.455454545454545
50,Ron Tugnutt,CAN,81.0,19871988,N,537,186,0.89275,3.108125
53,Vincent Tremblay,CAN,72.0,19791980,N,58,12,0.8635999999999999,5.072
54,Andrei Trefilov,RUS,261.0,19921993,N,54,12,0.8862857142857142,3.818571428571429
55,Vesa Toskala,FIN,90.0,20012002,N,266,129,0.917625,2.35
59,Dustin Tokarski,CAN,122.0,20092010,N,47,12,0.9042857142857142,2.6885714285714286
60,Hannu Toivonen,FIN,29.0,20052006,N,61,18,0.8889999999999999,3.4333333333333336
62,Wayne Thomas,CAN,,19721973,N,243,103,0.887,3.35625
63,Tim Thomas,USA,217.0,20022003,N,426,214,0.9182222222222222,2.583333333333333
65,Jocelyn Thibault,CAN,10.0,19931994,N,586,238,0.9013571428571427,2.8892857142857147
66,Jose Theodore,CAN,44.0,19951996,N,648,286,0.8799375,3.065625
67,Chris Terreri,USA,85.0,19861987,N,406,151,0.8925000000000001,3.0371428571428574
68,Mikael Tellqvist,SWE,70.0,20012002,N,113,45,0.8981666666666667,2.935
70,Bobby Taylor,CAN,,19711972,N,45,15,0.8728,4.408
73,John Tanner,CAN,54.0,19891990,N,21,2,0.8876666666666667,3.57
74,Robbie Tallas,CAN,,19951996,N,99,28,0.8926666666666666,2.8816666666666664
75,Cam Talbot,CAN,,20132014,N,347,169,0.917125,2.55875
76,Kari Takko,FIN,97.0,19851986,N,142,37,0.88,3.8333333333333335
77,Rick Tabaracci,CAN,26.0,19881989,N,286,93,0.8843636363636364,3.3909090909090907
80,Niklas Svedberg,SWE,,20132014,N,19,8,0.9305,2.15
81,Malcolm Subban,CAN,24.0,20142015,N,82,36,0.8191666666666667,3.936666666666667
82,Jamie Storr,CAN,7.0,19941995,N,219,85,0.9088,2.636
83,Anthony Stolarz,USA,45.0,20162017,N,34,10,0.92475,2.44
85,Wayne Stephenson,CAN,,19711972,N,328,146,0.8826,3.281
87,Greg Stefan,CAN,128.0,19811982,N,299,115,0.8633333333333333,4.055555555555555
88,Robb Stauber,USA,107.0,19891990,N,62,21,0.84975,4.79
89,Ed Staniowski,CAN,27.0,19751976,N,219,67,0.8709,3.986
91,Alex Stalock,USA,112.0,20102011,N,151,61,0.9141111111111112,2.2577777777777777
92,Sam St. Laurent,CAN,,19851986,N,34,7,0.8878,3.564
