,Player,Season,GP,W,Sv%,GAA,Age
0,Aaron Dell,20162017,20,11,0.931,2.0,27
1,Aaron Dell,20172018,29,15,0.914,2.64,28
2,Aaron Dell,20182019,25,10,0.886,3.17,29
3,Aaron Dell,20192020,33,12,0.907,3.01,30
4,Aaron Dell,20202021,7,1,0.857,4.14,31
5,Adam Berkhoel,20052006,9,2,0.882,3.8,24
6,Adam Hauser,20052006,1,0,0.75,7.08,25
7,Adam Munro,20032004,7,1,0.88,3.66,21
8,Adam Munro,20052006,10,3,0.893,3.0,23
9,Adam Werner,20192020,2,1,0.914,3.42,22
10,Adam Wilcox,20172018,1,0,1.0,0.0,25
11,Adin Hill,20172018,4,1,0.891,3.49,21
12,Adin Hill,20182019,13,7,0.901,2.76,22
13,Adin Hill,20192020,13,2,0.918,2.62,23
14,Adin Hill,20202021,19,9,0.913,2.74,24
15,Al Jensen,19801981,1,0,0.767,7.0,22
16,Al Jensen,19811982,26,8,0.885,3.82,23
17,Al Jensen,19821983,40,22,0.882,3.44,24
18,Al Jensen,19831984,43,25,0.881,2.92,25
19,Al Jensen,19841985,14,10,0.884,2.54,26
20,Al Jensen,19851986,44,28,0.889,3.19,27
21,Al Jensen,19861987,11,2,0.839,5.19,28
22,Al Millar,19571958,6,1,0.863,4.17,28
23,Al Montoya,20082009,5,3,0.925,2.08,23
24,Al Montoya,20102011,20,9,0.921,2.39,25
25,Al Montoya,20112012,31,9,0.893,3.11,26
26,Al Montoya,20122013,7,3,0.899,2.9,27
27,Al Montoya,20132014,28,13,0.92,2.3,28
28,Al Montoya,20142015,20,6,0.892,3.01,29
29,Al Montoya,20152016,25,12,0.919,2.18,30
30,Al Montoya,20162017,19,8,0.912,2.67,31
31,Al Montoya,20172018,13,4,0.893,3.21,32
32,Al Rollins,19501951,40,26,,1.77,24
33,Al Rollins,19511952,70,29,,2.19,25
34,Al Rollins,19521953,70,27,,2.5,26
35,Al Rollins,19531954,66,12,,3.21,27
36,Al Rollins,19541955,44,9,,3.41,28
37,Al Rollins,19551956,58,17,0.917,2.95,29
