,Player,Season,Team,S/C,GP,GS,W,L,T,OT,SA,Svs,GA,Sv%,GAA,TOI,SO,G,A,P,PIM,Birth Year,S/P,Nationality,Draft Round,HOF,Age
1768,Aaron Dell,20162017,SJS,L,20,17,11,6,--,1,533,496,37,0.931,2.0,1110:33,1,0,0,0,0,1989,AB,CAN,--,N,27
1390,Aaron Dell,20172018,SJS,L,29,22,15,5,--,4,775,708,67,0.914,2.64,1522:05,2,0,1,1,0,1989,AB,CAN,--,N,28
1949,Aaron Dell,20182019,SJS,L,25,20,10,8,--,4,613,543,70,0.886,3.17,1323:17,2,0,0,0,0,1989,AB,CAN,--,N,29
1698,Aaron Dell,20192020,SJS,L,33,30,12,15,--,3,986,894,92,0.907,3.01,1834:14,0,0,0,0,0,1989,AB,CAN,--,N,30
3424,Aaron Dell,20202021,NJD,L,7,5,1,5,--,0,154,132,22,0.857,4.14,319:10,0,0,0,0,0,1989,AB,CAN,--,N,31
3085,Adam Berkhoel,20052006,ATL,L,9,7,2,4,--,1,255,225,30,0.882,3.8,473:24,0,0,0,0,0,1981,MN,USA,8,N,24
4023,Adam Hauser,20052006,LAK,L,1,0,0,0,--,0,24,18,6,0.75,7.08,50:49,0,0,0,0,0,1980,MN,USA,3,N,25
3359,Adam Munro,20032004,CHI,L,7,7,1,5,1,--,217,191,26,0.88,3.66,425:41,0,0,0,0,2,1982,ON,CAN,1,N,21
2870,Adam Munro,20052006,CHI,L,10,10,3,5,--,2,234,209,25,0.893,3.0,500:42,1,0,1,1,0,1982,ON,CAN,1,N,23
3252,Adam Werner,20192020,COL,L,2,1,1,1,--,0,58,53,5,0.914,3.42,87:50,0,0,0,0,0,1997,--,SWE,5,N,22
3553,Adam Wilcox,20172018,BUF,L,1,0,0,1,--,0,14,14,0,1,0.0,38:39,0,0,0,0,0,1992,MN,USA,6,N,25
3323,Adin Hill,20172018,ARI,L,4,4,1,3,--,0,129,115,14,0.891,3.49,240:45,0,0,0,0,0,1996,BC,CAN,3,N,21
2304,Adin Hill,20182019,ARI,L,13,11,7,5,--,0,322,290,32,0.901,2.76,696:21,1,0,0,0,0,1996,BC,CAN,3,N,22
3000,Adin Hill,20192020,ARI,L,13,9,2,4,--,3,343,315,28,0.918,2.62,640:46,0,0,0,0,2,1996,BC,CAN,3,N,23
2008,Adin Hill,20202021,ARI,L,19,17,9,9,--,1,530,484,46,0.913,2.74,1005:54,2,0,0,0,0,1996,BC,CAN,3,N,24
4007,Al Jensen,19801981,DET,L,1,1,0,1,0,--,30,23,7,0.767,7.0,60:00,0,0,0,0,0,1958,ON,CAN,2,N,22
2211,Al Jensen,19811982,WSH,L,26,19,8,8,4,--,705,624,81,0.885,3.82,1270:54,0,0,2,2,6,1958,ON,CAN,2,N,23
832,Al Jensen,19821983,WSH,L,40,39,22,12,6,--,"1,144","1,009",135,0.882,3.44,2353:46,1,0,0,0,6,1958,ON,CAN,2,N,24
625,Al Jensen,19831984,WSH,L,43,42,25,13,3,--,981,864,117,0.881,2.92,2408:10,4,0,0,0,22,1958,ON,CAN,2,N,25
1951,Al Jensen,19841985,WSH,L,14,13,10,3,1,--,294,260,34,0.884,2.54,802:01,1,0,0,0,6,1958,ON,CAN,2,N,26
445,Al Jensen,19851986,WSH,L,44,39,28,9,3,--,"1,165","1,036",129,0.889,3.19,2430:00,2,0,1,1,4,1958,ON,CAN,2,N,27
3164,Al Jensen,19861987,"WSH,LAK",L,11,10,2,7,1,--,336,282,54,0.839,5.19,624:52,0,0,1,1,0,1958,ON,CAN,2,N,28
3403,Al Millar,19571958,BOS,L,6,6,1,4,1,--,183,158,25,0.863,4.17,360:00,0,0,0,0,0,1929,MB,CAN,--,N,28
2801,Al Montoya,20082009,PHX,L,5,4,3,1,--,0,120,111,9,0.925,2.08,259:28,1,0,0,0,0,1985,IL,USA,1,N,23
1997,Al Montoya,20102011,NYI,L,20,18,9,5,--,5,585,539,46,0.921,2.39,1153:47,1,0,1,1,2,1985,IL,USA,1,N,25
2066,Al Montoya,20112012,NYI,L,31,26,9,11,--,5,832,743,89,0.893,3.11,1719:42,0,0,0,0,2,1985,IL,USA,1,N,26
2852,Al Montoya,20122013,WPG,L,7,5,3,1,--,0,168,151,17,0.899,2.9,351:21,1,0,0,0,0,1985,IL,USA,1,N,27
1554,Al Montoya,20132014,WPG,L,28,22,13,8,--,3,737,678,59,0.92,2.3,1540:54,2,0,0,0,2,1985,IL,USA,1,N,28
2426,Al Montoya,20142015,FLA,L,20,13,6,7,--,2,453,404,49,0.892,3.01,976:56,0,0,0,0,2,1985,IL,USA,1,N,29
1668,Al Montoya,20152016,FLA,L,25,22,12,7,--,3,608,559,49,0.919,2.18,1351:14,0,0,0,0,2,1985,IL,USA,1,N,30
2143,Al Montoya,20162017,MTL,L,19,18,8,6,--,4,569,519,50,0.912,2.67,1124:53,2,0,2,2,2,1985,IL,USA,1,N,31
2694,Al Montoya,20172018,"MTL,EDM",L,13,8,4,3,--,2,346,309,37,0.893,3.21,691:44,0,0,2,2,0,1985,IL,USA,1,N,32
578,Al Rollins,19501951,TOR,L,40,40,26,6,7,--,--,--,70,--,1.77,2366:50,5,0,0,0,0,1926,SK,CAN,--,N,24
420,Al Rollins,19511952,TOR,L,70,69,29,24,16,--,--,--,152,--,2.19,4170:00,5,0,0,0,4,1926,SK,CAN,--,N,25
517,Al Rollins,19521953,CHI,L,70,70,27,28,15,--,--,--,175,--,2.5,4200:00,6,0,0,0,0,1926,SK,CAN,--,N,26
1766,Al Rollins,19531954,CHI,L,66,66,12,47,7,--,--,--,212,--,3.21,3957:45,5,0,0,0,20,1926,SK,CAN,--,N,27
2126,Al Rollins,19541955,CHI,L,44,44,9,27,8,--,--,--,150,--,3.41,2640:00,0,0,0,0,0,1926,SK,CAN,--,N,28
1198,Al Rollins,19551956,CHI,L,58,58,17,30,11,--,"2,065","1,894",171,0.917,2.95,3478:30,3,0,0,0,10,1926,SK,CAN,--,N,29
1323,Al Rollins,19561957,CHI,L,70,70,16,39,15,--,"2,212","1,992",224,0.901,3.2,4198:00,3,0,1,1,9,1926,SK,CAN,--,N,30
2808,Al Rollins,19591960,NYR,L,10,10,3,4,3,--,380,349,31,0.918,3.1,600:00,0,0,0,0,0,1926,SK,CAN,--,N,33
3218,Al Smith,19651966,TOR,L,2,0,1,0,0,--,31,29,2,0.935,1.92,62:28,0,0,0,0,0,1945,ON,CAN,--,N,20
3803,Al Smith,19661967,TOR,L,1,1,0,1,0,--,35,30,5,0.857,5.0,60:00,0,0,0,0,0,1945,ON,CAN,--,N,21
3268,Al Smith,19681969,TOR,L,7,5,1,2,1,--,173,157,16,0.908,2.9,330:48,0,0,0,0,7,1945,ON,CAN,--,N,23
1422,Al Smith,19691970,PIT,L,46,43,15,20,8,--,"1,283","1,154",129,0.899,3.03,2553:44,2,0,0,0,20,1945,ON,CAN,--,N,24
2051,Al Smith,19701971,PIT,L,45,40,9,22,9,--,"1,256","1,128",128,0.898,3.11,2470:45,2,0,0,0,26,1945,ON,CAN,--,N,25
1163,Al Smith,19711972,DET,L,43,40,18,20,4,--,"1,242","1,108",134,0.892,3.22,2495:00,4,0,4,4,23,1945,ON,CAN,--,N,26
2083,Al Smith,19751976,BUF,L,14,14,9,3,2,--,360,317,43,0.881,3.07,839:26,0,0,0,0,0,1945,ON,CAN,--,N,30
3875,Al Smith,19761977,BUF,L,7,4,0,3,0,--,116,97,19,0.836,4.33,263:32,0,0,0,0,0,1945,ON,CAN,--,N,31
1848,Al Smith,19791980,HFD,L,30,29,11,10,8,--,862,755,107,0.876,3.67,1748:26,2,0,1,1,10,1945,ON,CAN,--,N,34
2125,Al Smith,19801981,CLR,L,36,33,9,18,4,--,923,772,151,0.836,4.76,1901:49,0,0,2,2,36,1945,ON,CAN,--,N,35
1868,Alain Chevrier,19851986,NJD,L,37,32,11,18,2,--,951,808,143,0.85,4.62,1857:22,0,0,3,3,0,1961,ON,CAN,--,N,24
683,Alain Chevrier,19861987,NJD,L,58,54,24,26,2,--,"1,790","1,563",227,0.873,4.32,3149:15,0,0,0,0,17,1961,ON,CAN,--,N,25
1186,Alain Chevrier,19871988,NJD,L,45,38,18,19,3,--,"1,113",965,148,0.867,3.78,2350:59,1,0,1,1,8,1961,ON,CAN,--,N,26
926,Alain Chevrier,19881989,"WIN,CHI",L,49,45,21,19,4,--,"1,290","1,120",170,0.868,3.83,2665:30,1,0,4,4,2,1961,ON,CAN,--,N,27
1270,Alain Chevrier,19891990,"CHI,PIT",L,42,38,17,16,3,--,986,840,146,0.852,4.25,2059:38,0,0,3,3,8,1961,ON,CAN,--,N,28
3962,Alain Chevrier,19901991,DET,L,3,2,0,2,0,--,55,44,11,0.8,6.14,107:34,0,0,0,0,0,1961,ON,CAN,--,N,29
3636,Alain Raymond,19871988,WSH,L,1,0,0,1,0,--,20,18,2,0.9,3.06,39:11,0,0,0,0,0,1965,QC,CAN,11,N,22
3264,Alex Auld,20012002,VAN,L,1,1,1,0,0,--,22,20,2,0.909,2.0,59:55,0,0,1,1,0,1981,AB,CAN,2,N,20
2793,Alex Auld,20022003,VAN,L,7,5,3,3,0,--,165,155,10,0.939,1.57,382:23,1,0,0,0,0,1981,AB,CAN,2,N,21
2987,Alex Auld,20032004,VAN,L,6,5,2,2,2,--,168,156,12,0.929,2.06,348:53,0,0,0,0,0,1981,AB,CAN,2,N,22
243,Alex Auld,20052006,VAN,L,67,64,33,26,--,6,"1,938","1,749",189,0.902,2.94,3858:55,0,0,2,2,4,1981,AB,CAN,2,N,24
2327,Alex Auld,20062007,FLA,L,27,25,7,13,--,5,729,647,82,0.888,3.35,1470:31,1,0,1,1,2,1981,AB,CAN,2,N,25
1697,Alex Auld,20072008,"PHX,BOS",L,32,29,12,13,--,5,827,750,77,0.907,2.68,1722:17,3,0,0,0,0,1981,AB,CAN,2,N,26
1303,Alex Auld,20082009,OTT,L,43,38,16,18,--,7,"1,141","1,040",101,0.911,2.47,2449:26,1,0,0,0,2,1981,AB,CAN,2,N,27
2059,Alex Auld,20092010,"DAL,NYR",L,24,20,9,7,--,3,610,546,64,0.895,2.96,1299:29,0,0,2,2,2,1981,AB,CAN,2,N,28
2376,Alex Auld,20102011,MTL,L,16,12,6,2,--,2,383,350,33,0.914,2.64,748:35,0,0,1,1,2,1981,AB,CAN,2,N,29
3077,Alex Auld,20112012,OTT,L,14,8,2,4,--,2,310,274,36,0.884,3.35,645:02,0,0,0,0,0,1981,AB,CAN,2,N,30
2672,Alex Lyon,20172018,PHI,L,11,7,4,2,--,1,232,210,22,0.905,2.75,479:48,0,0,0,0,0,1992,MN,USA,--,N,25
3952,Alex Lyon,20182019,PHI,L,2,1,0,1,--,0,31,25,6,0.806,5.08,70:49,0,0,0,0,0,1992,MN,USA,--,N,26
3325,Alex Lyon,20192020,PHI,L,3,2,1,1,--,0,73,65,8,0.89,3.55,135:19,0,0,0,0,0,1992,MN,USA,--,N,27
3313,Alex Lyon,20202021,PHI,L,6,5,1,3,--,1,169,151,18,0.893,3.33,324:09,0,0,0,0,0,1992,MN,USA,--,N,28
3559,Alex Nedeljkovic,20162017,CAR,L,1,0,0,0,--,0,17,17,0,1,0.0,29:57,0,0,0,0,2,1996,OH,USA,2,N,20
3234,Alex Nedeljkovic,20182019,CAR,L,1,1,1,0,--,0,26,24,2,0.923,2.0,60:00,0,0,0,0,0,1996,OH,USA,2,N,22
3341,Alex Nedeljkovic,20192020,CAR,L,4,3,1,2,--,1,97,86,11,0.887,3.05,216:19,0,0,0,0,0,1996,OH,USA,2,N,23
